5p,15p,25p,35p,45p,50p,55p,65p,75p,85p,95p
7412.99328,15531.985919999997,25151.227199999998,33398.182224,42682.073807999994,47888.819088,50831.95391999999,64528.341503999996,78718.92863999998,100088.64676799998,157049.55763199998
6923.206224,17950.033728,30931.596959999995,40021.33871999999,45514.896239999995,48537.456,53391.20159999999,67987.73836799999,93544.91519999999,118307.84275199998,184221.70799999998
7412.99328,19167.882623999998,30931.596959999995,40665.563136,48546.28099199999,51626.203199999996,61774.943999999996,76181.74343999999,88249.92,115122.02064,172087.34399999998
6923.206224,18205.958496,30746.272127999997,41720.149679999995,47037.20735999999,51705.62812799999,61571.969183999994,67987.73836799999,84552.24835199998,113268.77231999999,183162.70896
9288.304079999998,21078.493392,30887.471999999998,41159.762687999995,46331.208,49216.980383999995,53347.07663999999,67069.9392,81326.71377599999,111194.89919999999,183573.071088
9116.216735999998,19167.882623999998,29082.761135999997,39866.901359999996,44566.209599999995,47888.819088,48634.530911999995,61995.5688,80991.36408,110149.137648,164105.13873599996
7205.605968,17950.033728,29669.623104,41036.212799999994,47888.819088,49393.480224,53347.07663999999,65750.602896,76181.74343999999,98186.86099199999,147580.34121599997
7205.605968,17244.034367999997,30887.471999999998,40594.9632,48537.456,50973.153792,53391.20159999999,68040.68832,84552.24835199998,108900.40127999998,164105.13873599996
7205.605968,16079.135423999998,25989.601439999995,37417.96608,45889.958399999996,52949.952,60407.070239999994,67987.73836799999,90456.16799999999,118307.84275199998,164444.900928
7205.605968,14525.936832,27004.47552,39888.96384,47037.20735999999,48634.530911999995,53347.07663999999,66628.68959999998,82213.625472,113268.77231999999,184221.70799999998
8895.591935999999,22062.48,30931.596959999995,40594.9632,47037.20735999999,50743.704,55835.724383999994,71808.95990399999,88249.92,115122.02064,164444.900928
7412.99328,17950.033728,28231.149408,41918.712,46432.695408,49861.2048,52067.4528,65750.602896,82319.52537599999,108900.40127999998,141967.646304
9729.553679999999,18205.958496,30887.471999999998,41049.450288,48537.456,51004.041264,57583.0728,67069.9392,86939.408688,117601.84339199998,183573.071088
5736.2447999999995,16079.135423999998,24784.990031999998,30887.471999999998,40594.9632,43652.822927999994,47037.20735999999,61774.943999999996,79791.16516799999,108900.40127999998,141138.097056
7205.605968,16604.222448,29669.623104,39888.96384,46331.208,48537.456,52949.952,66628.68959999998,83378.52441599999,117601.84339199998,164586.1008
9164.754192,21078.493392,30887.471999999998,39866.901359999996,44976.571727999995,48546.28099199999,53347.07663999999,67069.9392,83378.52441599999,118140.16790399999,161497.3536
7412.99328,19856.232,34095.356592,40021.33871999999,46715.095151999994,50973.153792,57583.0728,67069.9392,83378.52441599999,113935.05921599998,172087.34399999998
4416.908495999999,16767.4848,29082.761135999997,41159.762687999995,46432.695408,49393.480224,52994.07695999999,66187.44,80439.80208,98848.73539199999,157049.55763199998
10700.3028,22062.48,29082.761135999997,39866.901359999996,44566.209599999995,48546.28099199999,51705.62812799999,66187.44,84552.24835199998,113935.05921599998,174739.254096
9116.216735999998,17649.984,29669.623104,39866.901359999996,46432.695408,51705.62812799999,58853.87164799999,69818.924208,88249.92,118140.16790399999,184221.70799999998
7412.99328,16767.4848,30887.471999999998,40594.9632,46715.095151999994,50973.153792,53391.20159999999,67069.9392,88249.92,113935.05921599998,164444.900928
7412.99328,16604.222448,26474.976,39712.464,45514.896239999995,48537.456,52949.952,65750.602896,79791.16516799999,104293.75545599998,164105.13873599996
9729.553679999999,19856.232,30865.409519999997,39712.464,46600.370255999995,50973.153792,54053.075999999994,71041.18559999998,81326.71377599999,104293.75545599998,152142.86208
10713.540288,18633.970608,34165.956528,41962.83695999999,48634.530911999995,53347.07663999999,63098.6928,78718.92863999998,98186.86099199999,132374.88,172087.34399999998
9116.216735999998,22062.48,30887.471999999998,39972.801263999994,46331.208,48537.456,52949.952,67069.9392,88249.92,118140.16790399999,164586.1008
7412.99328,16079.135423999998,28231.149408,39346.22683199999,43683.710399999996,48144.743855999994,55928.3868,66187.44,82844.61239999998,108900.40127999998,164444.900928
6177.4944,16604.222448,29762.285519999998,39888.96384,47888.819088,50831.95391999999,55098.837552,73922.54548799999,98403.073296,123770.51279999998,179513.574768
7412.99328,18205.958496,30865.409519999997,39888.96384,46331.208,48537.456,52949.952,65750.602896,82213.625472,108966.58871999999,164105.13873599996
6177.4944,15567.285888,27092.725439999995,41036.212799999994,48634.530911999995,53347.07663999999,61841.13143999999,71808.95990399999,98186.86099199999,133407.404064,210939.37128
6923.206224,16079.135423999998,26474.976,38203.390368,43683.710399999996,48219.756288,51626.203199999996,64422.44159999999,80991.36408,97074.912,147580.34121599997
6177.4944,17649.984,27004.47552,40665.563136,47888.819088,50743.704,52994.07695999999,68040.68832,90456.16799999999,118307.84275199998,179513.574768
7412.99328,16604.222448,29762.285519999998,40594.9632,49186.092912,53391.20159999999,61704.344064,73922.54548799999,93544.91519999999,119137.39199999999,183573.071088
7205.605968,19167.882623999998,30931.596959999995,41962.83695999999,48546.28099199999,53347.07663999999,64422.44159999999,75894.93119999999,97074.912,126342.997968,174739.254096
6923.206224,16079.135423999998,24904.127424000002,38203.390368,46432.695408,48546.28099199999,51983.615375999994,67069.9392,83378.52441599999,113935.05921599998,174739.254096
9729.553679999999,24904.127424000002,34717.518528,41962.83695999999,48546.28099199999,51626.203199999996,59639.295935999995,71041.18559999998,84552.24835199998,113935.05921599998,164444.900928
8599.954703999998,17649.984,30746.272127999997,41159.762687999995,48537.456,51705.62812799999,60407.070239999994,67987.73836799999,86939.408688,118140.16790399999,183162.70896
